
> nextn@0.1.0 dev
> next dev

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://10.100.208.212:3000
- Environments: .env

✓ Starting...
✓ Ready in 1363ms
 POST /api/check-eligibility 200 in 354ms (compile: 282ms, render: 72ms)
 POST /api/check-eligibility 200 in 6ms (compile: 1901µs, render: 4ms)
 POST /api/check-eligibility 200 in 8ms (compile: 3ms, render: 5ms)
 POST /api/check-eligibility 200 in 7ms (compile: 2ms, render: 5ms)
 POST /api/check-eligibility 200 in 7ms (compile: 3ms, render: 5ms)
 POST /api/check-eligibility 200 in 6ms (compile: 1807µs, render: 4ms)
 POST /api/check-eligibility 200 in 6ms (compile: 1495µs, render: 5ms)
 POST /api/check-eligibility 200 in 8ms (compile: 1706µs, render: 6ms)
 POST /api/check-eligibility 200 in 10ms (compile: 4ms, render: 6ms)
 POST /api/check-eligibility 200 in 10ms (compile: 2ms, render: 8ms)
 POST /api/check-eligibility 200 in 9ms (compile: 2ms, render: 6ms)
 POST /api/check-eligibility 200 in 9ms (compile: 3ms, render: 6ms)
 POST /api/check-eligibility 200 in 7ms (compile: 2ms, render: 5ms)
 POST /api/check-eligibility 200 in 8ms (compile: 3ms, render: 5ms)
 POST /api/check-eligibility 200 in 7ms (compile: 2ms, render: 5ms)
 POST /api/check-eligibility 200 in 9ms (compile: 2ms, render: 7ms)
 POST /api/check-eligibility 200 in 12ms (compile: 2ms, render: 10ms)
 POST /api/check-eligibility 200 in 39ms (compile: 3ms, render: 36ms)
 POST /api/check-eligibility 200 in 50ms (compile: 11ms, render: 40ms)
 POST /api/check-eligibility 200 in 51ms (compile: 28ms, render: 23ms)
 POST /api/check-eligibility 200 in 36ms (compile: 20ms, render: 15ms)
 POST /api/check-eligibility 200 in 37ms (compile: 27ms, render: 10ms)
 POST /api/check-eligibility 200 in 36ms (compile: 14ms, render: 22ms)
 POST /api/check-eligibility 200 in 38ms (compile: 17ms, render: 21ms)
 POST /api/check-eligibility 200 in 42ms (compile: 22ms, render: 20ms)
 POST /api/check-eligibility 200 in 46ms (compile: 29ms, render: 17ms)
 POST /api/check-eligibility 200 in 44ms (compile: 17ms, render: 26ms)
 POST /api/check-eligibility 200 in 32ms (compile: 13ms, render: 18ms)
 POST /api/check-eligibility 200 in 33ms (compile: 17ms, render: 15ms)
 POST /api/check-eligibility 200 in 35ms (compile: 20ms, render: 15ms)
 POST /api/check-eligibility 200 in 61ms (compile: 18ms, render: 43ms)
 POST /api/check-eligibility 200 in 60ms (compile: 24ms, render: 36ms)
 POST /api/check-eligibility 200 in 52ms (compile: 31ms, render: 21ms)
 POST /api/check-eligibility 200 in 55ms (compile: 34ms, render: 20ms)
 POST /api/check-eligibility 200 in 60ms (compile: 41ms, render: 19ms)
 POST /api/check-eligibility 200 in 45ms (compile: 19ms, render: 26ms)
 POST /api/check-eligibility 200 in 31ms (compile: 14ms, render: 18ms)
 POST /api/check-eligibility 200 in 32ms (compile: 17ms, render: 15ms)
 POST /api/check-eligibility 200 in 36ms (compile: 20ms, render: 15ms)
 POST /api/check-eligibility 200 in 45ms (compile: 16ms, render: 29ms)
 POST /api/check-eligibility 200 in 34ms (compile: 12ms, render: 22ms)
 POST /api/check-eligibility 200 in 37ms (compile: 15ms, render: 21ms)
 POST /api/check-eligibility 200 in 41ms (compile: 19ms, render: 22ms)
 POST /api/check-eligibility 200 in 44ms (compile: 26ms, render: 18ms)
 POST /api/check-eligibility 200 in 42ms (compile: 19ms, render: 23ms)
 POST /api/check-eligibility 200 in 32ms (compile: 11ms, render: 21ms)
 POST /api/check-eligibility 200 in 34ms (compile: 16ms, render: 17ms)
 POST /api/check-eligibility 200 in 36ms (compile: 19ms, render: 17ms)
 POST /api/check-eligibility 200 in 26ms (compile: 17ms, render: 9ms)
 POST /api/check-eligibility 200 in 36ms (compile: 14ms, render: 22ms)
 POST /api/check-eligibility 200 in 41ms (compile: 17ms, render: 24ms)
 POST /api/check-eligibility 200 in 43ms (compile: 23ms, render: 20ms)
 POST /api/check-eligibility 200 in 45ms (compile: 29ms, render: 16ms)
 POST /api/check-eligibility 200 in 42ms (compile: 15ms, render: 27ms)
 POST /api/check-eligibility 200 in 43ms (compile: 18ms, render: 24ms)
 POST /api/check-eligibility 200 in 44ms (compile: 26ms, render: 18ms)
 POST /api/check-eligibility 200 in 45ms (compile: 30ms, render: 15ms)
 POST /api/check-eligibility 200 in 23ms (compile: 13ms, render: 10ms)
 POST /api/check-eligibility 200 in 44ms (compile: 13ms, render: 31ms)
 POST /api/check-eligibility 200 in 37ms (compile: 12ms, render: 25ms)
 POST /api/check-eligibility 200 in 40ms (compile: 16ms, render: 23ms)
 POST /api/check-eligibility 200 in 42ms (compile: 20ms, render: 22ms)
 POST /api/check-eligibility 200 in 47ms (compile: 24ms, render: 23ms)
 POST /api/check-eligibility 200 in 36ms (compile: 19ms, render: 17ms)
 POST /api/check-eligibility 200 in 37ms (compile: 22ms, render: 15ms)
 POST /api/check-eligibility 200 in 38ms (compile: 27ms, render: 12ms)
 POST /api/check-eligibility 200 in 36ms (compile: 24ms, render: 12ms)
 POST /api/check-eligibility 200 in 41ms (compile: 8ms, render: 32ms)
 POST /api/check-eligibility 200 in 42ms (compile: 14ms, render: 28ms)
 POST /api/check-eligibility 200 in 44ms (compile: 19ms, render: 25ms)
 POST /api/check-eligibility 200 in 47ms (compile: 22ms, render: 25ms)
 POST /api/check-eligibility 200 in 49ms (compile: 29ms, render: 20ms)
 POST /api/check-eligibility 200 in 42ms (compile: 20ms, render: 22ms)
 POST /api/check-eligibility 200 in 30ms (compile: 11ms, render: 20ms)
 POST /api/check-eligibility 200 in 32ms (compile: 15ms, render: 17ms)
 POST /api/check-eligibility 200 in 34ms (compile: 19ms, render: 16ms)
 POST /api/check-eligibility 200 in 59ms (compile: 16ms, render: 43ms)
 POST /api/check-eligibility 200 in 48ms (compile: 16ms, render: 32ms)
 POST /api/check-eligibility 200 in 49ms (compile: 21ms, render: 28ms)
 POST /api/check-eligibility 200 in 50ms (compile: 31ms, render: 20ms)
 POST /api/check-eligibility 200 in 77ms (compile: 35ms, render: 42ms)
 POST /api/check-eligibility 200 in 61ms (compile: 38ms, render: 22ms)
 POST /api/check-eligibility 200 in 30ms (compile: 10ms, render: 20ms)
 POST /api/check-eligibility 200 in 33ms (compile: 16ms, render: 16ms)
 POST /api/check-eligibility 200 in 35ms (compile: 20ms, render: 16ms)
 POST /api/check-eligibility 200 in 44ms (compile: 16ms, render: 28ms)
 POST /api/check-eligibility 200 in 33ms (compile: 11ms, render: 22ms)
 POST /api/check-eligibility 200 in 34ms (compile: 15ms, render: 19ms)
 POST /api/check-eligibility 200 in 35ms (compile: 18ms, render: 17ms)
 POST /api/check-eligibility 200 in 38ms (compile: 24ms, render: 13ms)
 POST /api/check-eligibility 200 in 22ms (compile: 16ms, render: 6ms)
 POST /api/check-eligibility 200 in 27ms (compile: 13ms, render: 14ms)
 POST /api/check-eligibility 200 in 27ms (compile: 20ms, render: 8ms)
 POST /api/check-eligibility 200 in 30ms (compile: 21ms, render: 9ms)
 POST /api/check-eligibility 200 in 37ms (compile: 17ms, render: 20ms)
 POST /api/check-eligibility 200 in 39ms (compile: 20ms, render: 18ms)
 POST /api/check-eligibility 200 in 42ms (compile: 27ms, render: 15ms)
 POST /api/check-eligibility 200 in 48ms (compile: 31ms, render: 17ms)
 POST /api/check-eligibility 200 in 45ms (compile: 38ms, render: 8ms)
 POST /api/check-eligibility 200 in 32ms (compile: 26ms, render: 6ms)
 POST /api/check-eligibility 200 in 30ms (compile: 16ms, render: 14ms)
 POST /api/check-eligibility 200 in 31ms (compile: 22ms, render: 9ms)
 POST /api/check-eligibility 200 in 54ms (compile: 21ms, render: 33ms)
 POST /api/check-eligibility 200 in 42ms (compile: 15ms, render: 27ms)
 POST /api/check-eligibility 200 in 45ms (compile: 19ms, render: 26ms)
 POST /api/check-eligibility 200 in 47ms (compile: 22ms, render: 25ms)
 POST /api/check-eligibility 200 in 49ms (compile: 28ms, render: 21ms)
 POST /api/check-eligibility 200 in 50ms (compile: 33ms, render: 17ms)
 POST /api/check-eligibility 200 in 29ms (compile: 17ms, render: 12ms)
 POST /api/check-eligibility 200 in 38ms (compile: 14ms, render: 24ms)
 POST /api/check-eligibility 200 in 30ms (compile: 15ms, render: 14ms)
 POST /api/check-eligibility 200 in 31ms (compile: 19ms, render: 13ms)
 POST /api/check-eligibility 200 in 34ms (compile: 12ms, render: 21ms)
 POST /api/check-eligibility 200 in 36ms (compile: 15ms, render: 21ms)
 POST /api/check-eligibility 200 in 38ms (compile: 21ms, render: 17ms)
 POST /api/check-eligibility 200 in 40ms (compile: 24ms, render: 16ms)
 POST /api/check-eligibility 200 in 33ms (compile: 19ms, render: 14ms)
[?25h
